Sigla,Código,Estado,media_anos_de_estudo_2016,pessoas_superior_completo_2016,
AC,12,Acre,8,13.4,
AL,27,Alagoas,7,8.4,
AM,13,Amazonas,9,12.8,
AP,16,Amapá,9.7,17.1,
BA,29,Bahia,7.8,9.2,
CE,23,Ceará,7.5,9,
DF,53,Distrito Federal,11.1,31.3,
ES,32,Espírito Santo,9.1,14.7,
GO,52,Goiás,9,14.5,
MA,21,Maranhão,7.1,7,
MG,31,Minas Gerais,8.9,14.5,
MS,50,Mato Grosso do Sul,8.9,14.5,
MT,51,Mato Grosso,8.6,13.9,
PA,15,Pará,8.1,8.9,
PB,25,Paraíba,7.6,11.3,
PE,26,Pernambuco,8.1,12,
PI,22,Piauí,7.4,10.7,
PR,41,Paraná,9.2,17.8,
RJ,33,Rio de Janeiro,10.1,17.8,
RN,24,Rio Grande do Norte,8.2,12,
RO,11,Rondônia,8,10.9,
RR,14,Roraima,9.6,18.6,
RS,43,Rio Grande do Sul,9.6,16,
SC,42,Santa Catarina,9.3,15.3,
SE,28,Sergipe,7.9,12.1,
SP,35,São Paulo,10.2,21.3,
TO,17,Tocantins,8.3,12.2,
