Sigla,Código,Estado,2018,2019,2020,2021,2023,
AC,12,Acre,71.86,72.47,67.2,75.96,74.2,
AL,27,Alagoas,65.42,64.46,57.77,67.16,65.5,
AM,13,Amazonas,75.05,78.93,75.51,83.09,78,
AP,16,Amapá,81.02,83.28,79.24,85.96,81.1,
BA,29,Bahia,69.03,68.75,64.96,63.37,64.9,
CE,23,Ceará,67.99,69.83,65.21,70.03,65.5,
DF,53,Distrito Federal,77.87,75.54,77.22,77.76,77.8,
ES,32,Espírito Santo,75.87,75.26,73.57,75.51,75.6,
GO,52,Goiás,79.47,78.45,75.78,80.25,78.3,
MA,21,Maranhão,67.67,66.69,61.16,69.14,68.6,
MG,31,Minas Gerais,72.01,72.9,69.29,73.2,74.5,
MS,50,Mato Grosso do Sul,78.99,77.8,76.67,80.49,79.3,
MT,51,Mato Grosso,80.65,81.79,83.34,86.75,83.7,
PA,15,Pará,74.6,74.74,71.08,76.82,73.9,
PB,25,Paraíba,67.84,66.87,60.85,66.97,66.8,
PE,26,Pernambuco,71.06,68.8,66.16,72.01,66.1,
PI,22,Piauí,64.62,63.01,54.37,62.63,64.7,
PR,41,Paraná,76.83,78.55,78.55,80.06,77.9,
RJ,33,Rio de Janeiro,71.48,70.19,69.55,72.33,72.6,
RN,24,Rio Grande do Norte,67.07,64.95,62.82,69.86,63.7,
RO,11,Rondônia,79.99,79.63,77.58,81.58,77.4,
RR,14,Roraima,83.22,83.82,80.54,85.23,83.2,
RS,43,Rio Grande do Sul,71.92,72.03,70.87,72,71.2,
SC,42,Santa Catarina,76.93,77.35,78.03,79.31,79.2,
SE,28,Sergipe,70.63,68.11,64.11,70.5,65.5,
SP,35,São Paulo,77.56,77.92,78.13,78.49,76.6,
TO,17,Tocantins,76.87,75.39,72.4,79.77,78.5,
