date;PETR4;VALE5;CSNA3;GGBR4;USIM5;JBSS3;MRFG3;BEEF3;LAME4;AMBV4;NATU3;ITUB4;BBDC4;BBAS3
20/05/2008;47,18;54,13;37,74;39,97;42,65;8,31;20,17;10,30;12,78;116,93;18,28;32,33;30,39;25,86
21/05/2008;47,97;52,57;36,68;38,88;41,06;8,56;20,51;10,19;12,53;113,79;17,19;31,47;29,67;25,07
23/05/2008;46,19;51,88;36,73;38,62;41,02;8,46;20,64;9,80;12,52;110,58;16,65;31,37;29,66;24,37
26/05/2008;47,10;51,56;37,09;39,09;41,27;8,42;20,75;10,14;12,49;111,40;16,71;31,41;29,26;24,39
27/05/2008;45,57;50,53;36,50;39,18;40,46;8,61;21,39;10,27;12,25;110,07;16,42;32,33;29,94;25,03
28/05/2008;46,56;51,56;37,58;40,12;41,38;9,26;22,60;10,60;12,64;107,18;17,16;33,44;30,99;26,52
29/05/2008;45,06;49,34;36,22;38,51;40,45;9,64;22,52;10,75;12,81;104,87;17,72;33,23;30,39;26,67
30/05/2008;44,77;50,22;35,65;39,03;40,46;9,84;22,95;11,25;12,87;105,24;17,09;34,54;30,91;27,99
02/06/2008;45,47;50,23;35,51;38,54;40,23;9,64;22,46;11,20;12,40;102,82;16,69;33,05;30,16;27,24
03/06/2008;43,34;48,46;34,62;38,31;39,77;9,13;22,70;11,30;12,51;99,96;16,48;32,10;29,52;26,22
04/06/2008;41,37;46,98;34,35;37,34;38,22;8,96;21,87;11,35;12,24;100,79;16,14;31,86;29,20;25,96
05/06/2008;43,44;48,93;36,20;40,03;39,74;9,01;21,39;11,98;12,40;103,34;16,69;33,05;30,09;27,36
06/06/2008;43,47;47,67;35,66;39,65;40,11;8,36;21,58;11,40;11,96;101,14;15,86;32,18;29,35;26,59
09/06/2008;43,36;46,84;34,93;39,98;39,81;8,46;21,06;11,10;12,02;100,42;16,28;31,43;28,84;26,18
10/06/2008;42,02;44,92;33,85;39,14;39,07;8,48;21,19;10,61;11,76;98,75;16,21;30,38;28,19;26,05
11/06/2008;41,46;43,96;33,16;37,65;38,57;8,58;21,39;10,90;11,15;98,57;16,28;29,93;27,41;25,54
12/06/2008;41,27;43,91;33,29;38,23;38,84;8,32;21,67;10,90;11,24;106,59;16,19;30,64;28,32;25,46
13/06/2008;41,92;43,33;32,91;37,70;38,54;8,15;21,68;10,40;11,41;104,22;16,43;30,98;28,49;24,76
16/06/2008;41,82;43,41;32,63;37,75;38,24;7,97;21,48;10,20;11,35;103,47;16,60;31,06;28,36;25,29
17/06/2008;42,24;44,81;33,56;39,60;40,18;8,14;21,58;10,15;11,36;100,42;16,91;31,88;28,71;25,59
18/06/2008;41,46;45,18;32,65;39,09;39,07;8,30;21,35;10,00;10,85;97,43;16,63;30,76;28,07;24,52
19/06/2008;40,10;45,01;32,20;39,46;39,44;8,27;21,55;9,85;10,45;100,46;16,10;30,59;27,86;24,52
20/06/2008;39,40;43,19;30,66;36,74;37,35;8,60;21,68;9,89;10,42;97,42;15,99;29,34;27,03;23,56
23/06/2008;40,09;43,88;30,12;36,30;36,21;8,68;21,57;9,95;10,31;97,91;15,68;29,34;26,79;23,27
24/06/2008;39,99;44,53;30,28;35,37;35,61;8,16;21,19;9,80;10,01;96,86;15,10;28,49;26,44;23,32
25/06/2008;41,06;45,71;31,70;36,22;37,50;8,16;20,90;9,40;10,20;97,27;14,98;29,26;26,94;24,52
26/06/2008;41,01;43,44;31,24;35,33;36,57;7,86;19,93;9,00;9,91;94,45;14,28;27,68;25,88;23,55
27/06/2008;41,39;43,48;31,56;35,27;36,85;7,97;19,74;8,80;10,14;93,37;14,73;27,82;25,73;23,13
30/06/2008;42,20;44,06;32,13;36,59;36,52;8,06;20,17;8,50;10,35;93,99;15,00;27,91;26,06;22,59
01/07/2008;42,09;42,54;30,71;36,78;34,86;7,74;19,75;8,60;9,98;90,90;15,19;27,52;25,30;21,31
02/07/2008;40,15;40,10;28,41;34,17;33,24;8,06;20,40;8,40;9,75;89,93;14,54;27,44;25,36;20,75
03/07/2008;38,86;39,47;26,96;32,41;31,53;8,11;20,02;8,70;9,62;87,74;14,20;26,48;24,72;20,42
04/07/2008;39,45;39,92;26,93;31,45;30,98;7,92;19,45;8,59;9,54;85,19;13,99;26,77;24,72;20,58
07/07/2008;38,29;40,07;27,84;32,42;32,37;7,61;19,49;8,50;9,46;86,89;13,78;26,64;24,89;19,93
08/07/2008;37,10;40,23;27,78;32,59;32,21;7,86;19,45;8,80;9,74;89,09;14,19;27,04;25,70;20,98
10/07/2008;36,57;39,80;28,33;33,89;33,99;8,28;19,20;8,70;10,25;87,56;14,82;27,12;25,44;20,94
11/07/2008;37,09;39,68;28,50;33,50;34,17;8,60;19,44;8,60;10,25;87,60;14,84;26,72;25,21;20,58
14/07/2008;37,35;40,56;28,67;34,06;34,22;8,71;18,96;8,95;10,59;91,88;15,44;26,67;24,92;20,89
15/07/2008;37,04;40,16;28,37;33,60;34,01;8,66;19,04;9,05;10,85;91,50;16,54;26,04;24,60;21,08
16/07/2008;36,32;39,36;28,70;33,66;34,72;9,06;18,76;8,85;11,30;91,88;16,91;28,41;26,31;21,92
