CLASSIFICAÇÃO;P;J;V;E;D;GP;GC;SG;VM;VV;DM;DV;CA;CV
Fluminense - RJ; 77 ; 38 ; 22 ; 11 ; 5 ; 61 ; 33 ; 28 ; 11 ; 11 ; 3 ; 2 ; 85 ; 3 
Atlético - MG; 72 ; 38 ; 20 ; 12 ; 6 ; 64 ; 37 ; 27 ; 14 ; 6 ; -   ; 6 ; 104 ; 10 
Grêmio - RS; 71 ; 38 ; 20 ; 11 ; 7 ; 56 ; 33 ; 23 ; 13 ; 7 ; 2 ; 5 ; 102 ; 9 
São Paulo - SP; 66 ; 38 ; 20 ; 6 ; 12 ; 59 ; 37 ; 22 ; 15 ; 5 ; 2 ; 10 ; 93 ; 6 
Vasco da Gama - RJ; 58 ; 38 ; 16 ; 10 ; 12 ; 45 ; 44 ; 1 ; 9 ; 7 ; 6 ; 6 ; 91 ; 3 
Corinthians - SP; 57 ; 38 ; 15 ; 12 ; 11 ; 51 ; 39 ; 12 ; 10 ; 5 ; 3 ; 8 ; 87 ; 3 
Botafogo - RJ; 55 ; 38 ; 15 ; 10 ; 13 ; 60 ; 50 ; 10 ; 9 ; 6 ; 6 ; 7 ; 75 ; 3 
Santos - SP; 53 ; 38 ; 13 ; 14 ; 11 ; 50 ; 44 ; 6 ; 8 ; 5 ; 2 ; 9 ; 82 ; 4 
Cruzeiro - MG; 52 ; 38 ; 15 ; 7 ; 16 ; 47 ; 51 ;-4 ; 9 ; 6 ; 5 ; 11 ; 121 ; 9 
Internacional - RS; 52 ; 38 ; 13 ; 13 ; 12 ; 44 ; 40 ; 4 ; 9 ; 4 ; 6 ; 6 ; 106 ; 6 
Flamengo - RJ; 50 ; 38 ; 12 ; 14 ; 12 ; 39 ; 46 ;-7 ; 8 ; 4 ; 3 ; 9 ; 81 ; 6 
Náutico - PE; 49 ; 38 ; 14 ; 7 ; 17 ; 44 ; 51 ;-7 ; 13 ; 1 ; 3 ; 14 ; 86 ; 6 
Coritiba - PR; 48 ; 38 ; 14 ; 6 ; 18 ; 53 ; 60 ;-7 ; 11 ; 3 ; 6 ; 12 ; 99 ; 7 
Ponte Preta - SP; 48 ; 38 ; 12 ; 12 ; 14 ; 37 ; 44 ;-7 ; 9 ; 3 ; 3 ; 11 ; 94 ; 2 
Bahia - BA; 47 ; 38 ; 11 ; 14 ; 13 ; 37 ; 41 ;-4 ; 5 ; 6 ; 5 ; 8 ; 112 ; 2 
Portuguesa - SP; 45 ; 38 ; 10 ; 15 ; 13 ; 39 ; 41 ;-2 ; 7 ; 3 ; 4 ; 9 ; 87 ; 4 
Sport - PE; 41 ; 38 ; 10 ; 11 ; 17 ; 39 ; 56 ;-17 ; 7 ; 3 ; 6 ; 11 ; 85 ; 8 
Palmeiras - SP; 34 ; 38 ; 9 ; 7 ; 22 ; 39 ; 54 ;-15 ; 6 ; 3 ; 8 ; 14 ; 106 ; 6 
Atlético - GO; 30 ; 38 ; 7 ; 9 ; 22 ; 37 ; 67 ;-30 ; 5 ; 2 ; 11 ; 11 ; 102 ; 6 
Figueirense - SC; 30 ; 38 ; 7 ; 9 ; 22 ; 39 ; 72 ;-33 ; 5 ; 2 ; 8 ; 14 ; 95 ; 9 
