idade;est_civil;endereco;renda;carro;escolaridade;t_empr_atual;aposentado;satisf_trabal;sexo
55;1;12;72;36,2;1;23;0;5;f
56;0;29;153;76,9;1;35;0;4;m
28;1;9;28;13,7;3;4;0;3;f
24;1;4;26;12,5;4;0;0;1;m
25;0;2;23;11,3;2;5;0;2;m
45;1;9;76;37,2;3;13;0;2;m
42;0;19;40;19,8;3;10;0;2;m
35;0;15;57;28,2;2;1;0;1;f
46;0;26;24;12,2;1;11;0;5;f
34;1;0;89;46,1;3;12;0;4;m
55;1;17;72;35,5;3;2;0;3;f
28;0;3;24;11,8;4;4;0;5;m
31;1;9;40;21,3;4;0;0;2;f
42;0;8;137;68,9;3;3;0;1;f
35;0;8;70;34,1;3;9;0;4;m
52;1;24;159;78,9;4;16;0;5;m
21;1;1;37;18,6;3;0;0;1;m
32;0;0;28;13,7;1;2;0;4;f
42;0;9;109;54,7;3;20;0;3;f
40;1;12;117;58,3;2;19;0;5;f
30;0;3;23;11,8;1;3;0;3;m
48;0;14;21;9,5;3;2;0;3;m
39;1;17;17;8,5;4;2;0;3;m
42;1;5;34;16,6;2;13;0;3;f
45;1;12;115;57,4;1;27;0;4;f
51;1;10;47;23;1;9;0;3;m
39;1;9;33;16,3;3;1;0;1;m
49;0;29;135;68,4;2;14;0;5;f
52;0;20;272;74,9;1;35;0;5;m
53;1;29;41;19,9;1;9;0;4;m
34;0;10;20;10;3;0;0;1;f
47;1;6;22;11,4;3;7;0;4;m
58;0;2;60;29,7;4;1;0;1;m
25;1;0;58;28,4;3;4;0;2;f
57;1;28;92;45,5;2;25;0;5;f
30;1;7;21;10,5;4;4;0;1;m
21;0;0;13;6,3;3;0;0;1;f
24;0;5;24;11,8;2;2;0;3;f
56;0;7;213;81,7;4;30;0;4;f
24;0;2;19;9,6;2;0;0;3;m
41;0;13;59;28,6;3;17;0;3;m
57;1;30;544;82,8;2;39;0;2;f
32;0;2;32;15,7;2;10;0;5;m
24;0;5;35;17,4;4;0;0;2;m
49;1;12;35;17,3;1;4;0;3;m
21;0;0;22;11;3;0;0;1;f
33;1;12;39;19,4;2;8;0;2;f
56;0;12;134;67,2;2;19;0;3;m
54;1;16;103;51,2;1;28;0;2;m
44;1;8;240;75,2;4;11;0;3;f
20;0;1;20;9,5;2;0;0;2;m
47;0;15;118;59,8;2;26;0;5;m
48;0;15;78;38;4;18;0;4;f
25;0;2;68;33,5;4;0;0;2;f
52;0;13;27;13,4;1;10;0;2;m
38;1;0;19;9,2;1;1;0;1;f
65;1;5;20;10,1;2;10;1;3;m
28;1;2;31;15,6;3;0;0;3;m
51;1;28;51;25,5;2;9;0;3;m
61;1;34;84;41,5;2;18;0;3;m
46;1;10;133;66,6;5;16;0;5;m
43;1;8;109;54,6;2;20;0;3;f
28;0;7;24;12,5;3;2;0;2;m
39;0;6;57;28,6;3;12;0;2;f
37;0;16;24;11,3;3;7;0;1;m
59;1;35;32;15,9;2;0;0;1;m
55;0;29;65;31,5;4;10;0;4;f
51;1;20;70;35,6;3;8;0;3;m
48;1;28;321;65,9;5;11;0;4;m
40;0;4;71;35,1;3;6;0;2;m
28;0;3;35;17,3;3;6;0;5;f
39;1;16;85;44;2;21;0;5;m
30;1;0;20;9,7;3;3;0;4;f
40;1;5;33;16,4;3;15;0;5;f
55;0;18;35;17,2;4;2;0;2;f
48;1;0;50;25,2;2;11;0;3;f
48;1;4;1116;74,1;4;22;0;5;m
49;1;19;89;44,7;2;25;0;5;f
56;0;34;376;64,9;1;35;0;5;f
44;0;22;54;27,3;1;21;0;3;m
43;0;12;68;32,9;2;15;0;3;m
61;1;12;117;60,4;4;5;0;4;f
37;0;18;29;14,5;5;4;0;4;m
29;1;2;25;12,5;2;10;0;2;m
30;1;10;27;13,1;1;3;0;2;f
48;0;7;129;65,5;3;20;0;5;m
51;1;24;140;70,6;1;32;0;4;m
40;1;15;57;29,5;4;12;0;3;m
66;1;34;30;15,5;1;4;0;4;f
61;1;18;23;11,3;2;27;1;4;m
61;1;6;64;32;3;25;0;5;f
32;1;10;26;12,2;3;5;0;4;m
25;0;6;27;13,4;2;1;0;1;m
47;0;1;28;13,7;3;8;0;3;m
59;1;18;209;76,8;2;22;0;5;f
25;1;5;27;13,8;2;2;0;1;f
63;1;31;478;73;1;45;0;4;m
41;0;8;49;23,9;4;14;0;2;m
66;0;24;30;14,3;2;1;0;2;m
20;0;1;36;17,5;3;0;0;2;m
47;1;21;62;31,2;3;5;0;3;m
42;0;9;49;24,5;1;12;0;3;f
35;1;5;49;24,3;4;9;0;4;f
24;0;2;23;11,9;4;1;0;3;m
22;0;3;23;11,5;4;0;0;3;f
32;1;12;59;29,8;5;5;0;2;m
50;1;20;58;29,2;1;8;0;5;m
44;1;8;46;23,2;1;18;0;4;m
32;0;12;31;15,4;4;1;0;1;m
65;0;43;40;20,9;1;10;0;4;f
47;1;21;181;90,4;2;21;0;4;f
42;0;5;53;25,4;4;6;0;2;f
48;0;29;144;72,7;2;14;0;2;f
29;0;4;22;10,9;4;0;0;2;m
36;0;3;43;20,2;2;0;0;1;m
34;0;15;23;11,4;2;4;0;4;f
41;0;22;68;34,3;4;0;0;1;f
26;0;6;41;20,9;2;0;0;1;m
25;0;6;23;11,5;4;0;0;1;m
53;0;23;145;70,9;2;29;0;5;m
32;1;1;33;16,8;2;2;0;3;f
46;0;7;83;40,5;2;14;0;2;f
44;1;5;39;19,2;1;17;0;5;f
39;0;17;42;20,6;4;5;0;1;f
39;1;14;43;22,3;1;11;0;4;f
40;0;0;38;18,9;4;2;0;3;f
25;0;4;59;28,4;4;2;0;2;f
29;1;2;57;28,7;2;6;0;2;m
23;0;0;24;11,8;4;0;0;1;m
48;0;25;45;22,7;1;11;0;3;m
24;0;5;22;10,6;2;0;0;2;m
59;0;24;30;14,5;3;5;0;1;m
31;1;2;30;15,1;2;3;0;1;f
70;0;23;21;10,3;2;21;1;2;f
37;0;15;51;24,7;4;5;0;1;m
59;1;15;43;21;3;8;0;3;f
38;0;8;30;15,2;4;0;0;1;f
56;0;35;37;18,1;3;5;0;3;m
48;1;19;23;11,4;1;7;0;4;f
28;1;2;16;7,9;4;0;0;1;m
20;1;0;19;9,6;2;1;0;4;m
68;0;23;22;10,7;2;24;1;3;m
26;0;2;38;18,6;4;1;0;1;m
29;1;4;74;37,3;4;0;0;5;f
23;1;3;13;6,4;2;1;0;1;m
61;0;37;41;20,2;3;21;1;4;m
39;0;12;48;25,6;1;6;0;2;f
47;1;13;176;88,9;4;5;0;2;f
36;0;2;40;20,4;4;8;0;2;m
61;0;17;837;73,4;2;42;0;5;m
32;1;1;71;35,4;4;9;0;2;m
28;1;0;30;14,4;4;5;0;2;m
66;1;46;42;19,9;2;10;0;2;f
35;1;9;51;25,4;1;14;0;4;m
55;1;23;352;67,7;4;23;0;4;m
47;0;27;122;60,4;4;20;0;5;f
34;1;0;38;19,6;3;7;0;2;m
29;0;0;67;34,2;2;10;0;2;m
36;0;5;31;15,6;3;0;0;1;m
38;1;4;51;25,9;3;7;0;2;m
33;1;10;35;17,3;4;2;0;3;m
46;1;12;88;42,7;2;23;0;4;f
29;0;5;60;30,4;4;2;0;3;f
38;1;7;53;25;3;2;0;1;f
38;0;1;42;20,5;2;6;0;2;m
39;1;1;29;14,3;1;7;0;3;f
34;1;3;62;31;5;2;0;4;m
58;1;21;46;22,2;2;0;0;2;m
29;0;2;31;15,4;1;12;0;2;f
64;0;16;16;8,1;4;8;1;2;m
41;0;12;36;18,2;3;0;0;2;m
44;0;24;25;11,9;1;1;0;1;f
60;1;38;82;40,3;1;28;0;3;f
32;0;7;25;12,7;4;4;0;4;f
35;0;7;37;18,6;3;9;0;4;m
58;1;19;19;9,6;2;3;0;1;m
37;0;15;30;15;2;6;0;4;f
63;1;28;208;83,1;2;28;0;4;f
22;1;0;25;12,1;3;0;0;4;f
66;1;29;72;34,8;2;20;0;2;f
26;0;1;19;9,4;1;0;0;1;m
44;0;13;104;51;2;11;0;4;f
41;0;9;25;12,4;2;2;0;3;f
26;1;7;15;7,6;1;0;0;2;m
48;0;27;371;74,6;4;20;0;2;f
45;0;18;135;67,6;1;26;0;3;f
26;1;1;50;25,3;2;5;0;4;m
31;0;4;22;11,2;1;4;0;5;f
54;1;15;354;70,7;2;36;0;5;m
34;1;15;38;18,3;4;7;0;5;m
32;1;5;45;22,1;1;11;0;3;m
35;0;12;32;15,7;2;12;0;2;f
22;1;1;32;16,2;2;1;0;1;m
25;0;0;30;14,6;3;2;0;5;m
59;1;26;103;51,2;2;19;0;5;f
28;1;7;15;7,5;5;0;0;2;f
37;1;11;52;25,4;2;12;0;1;f
43;0;7;29;14;1;3;0;3;m
42;1;13;69;34,1;2;16;0;5;f
35;0;4;38;19;2;7;0;3;f
22;0;3;32;15,7;1;6;0;3;m
55;0;22;298;80,5;4;28;0;5;m
63;0;43;11;5,6;1;19;1;3;m
40;1;21;61;31,7;3;12;0;4;m
29;0;10;59;29,4;1;6;0;2;m
32;1;6;52;25,6;1;8;0;4;f
47;0;18;138;69,2;4;8;0;2;m
42;0;16;28;13,9;3;0;0;1;f
50;0;3;23;11,7;1;1;0;5;f
52;1;29;34;16,9;3;1;0;2;f
33;1;0;26;13,1;1;3;0;5;f
54;0;34;286;73,6;4;23;0;3;m
37;1;16;32;15,9;1;15;0;5;f
57;1;20;307;73,5;4;20;0;4;f
70;1;43;11;5,5;2;36;1;5;m
23;1;3;14;6,9;4;0;0;3;f
55;0;30;196;98,2;3;17;0;4;f
48;0;11;81;41,1;2;19;0;2;m
38;0;12;40;20,1;2;18;0;4;m
47;1;9;65;32,5;1;22;0;4;m
29;0;4;21;10,5;4;2;0;1;m
27;1;3;26;13,1;3;0;0;1;m
29;1;10;40;19,8;3;7;0;2;f
28;0;2;26;12,6;1;3;0;2;m
47;1;24;55;27,2;3;8;0;4;f
45;1;14;22;11,1;3;0;0;1;f
24;0;0;19;9,6;3;0;0;1;m
41;1;13;204;67,9;2;20;0;5;f
18;0;0;13;6,6;2;0;0;1;m
42;0;23;140;69,9;3;16;0;3;f
45;1;25;46;23,1;4;8;0;2;m
34;1;2;40;19,8;5;6;0;1;f
38;1;1;105;53,5;3;9;0;4;f
36;0;6;137;67,5;4;12;0;5;m
19;1;0;16;7,9;2;0;0;1;f
28;0;5;24;11,9;1;5;0;3;f
41;1;19;32;15,7;2;12;0;4;m
54;0;8;47;23,9;4;7;0;4;f
42;0;1;207;70,5;3;14;0;5;f
47;1;13;118;58,9;4;18;0;5;m
61;0;31;288;70,9;4;38;0;5;f
66;1;1;13;6,5;1;33;1;5;m
51;1;17;73;36,7;3;3;0;4;m
55;0;7;33;16,6;1;9;0;2;f
36;1;4;28;13,3;3;5;0;2;m
39;1;3;63;30,7;3;5;0;4;m
38;0;2;30;14,5;4;0;0;1;m
44;1;11;89;44,3;3;15;0;4;f
52;1;25;78;38,7;1;27;0;5;f
55;0;28;1045;70,9;5;23;0;5;f
58;1;30;97;49,1;1;28;0;5;m
61;0;0;119;58,7;2;19;0;4;m
64;0;18;10;4,9;1;6;1;2;f
45;1;11;242;76,1;3;22;0;5;f
66;0;21;333;63,2;1;44;0;5;m
31;0;5;29;15,2;2;2;0;1;f
31;0;4;26;12,6;2;4;0;4;m
36;1;1;56;29,4;4;9;0;5;m
20;0;0;21;10,6;3;0;0;1;f
40;1;0;35;17,3;3;4;0;5;f
38;1;12;40;19,3;2;3;0;2;m
51;0;17;89;43;2;12;0;4;m
47;0;16;36;18,3;1;7;0;5;f
31;1;10;32;15,4;3;4;0;4;f
34;0;8;44;22,1;4;4;0;1;f
35;1;7;41;20,2;2;7;0;3;m
66;0;36;45;23,7;1;16;0;5;m
63;0;11;118;60,2;1;14;0;5;f
34;1;14;102;51;4;9;0;2;f
37;1;6;31;15,4;3;7;0;3;f
34;1;11;37;18,4;1;5;0;5;m
36;1;7;109;56;4;4;0;1;m
42;0;17;42;21,6;4;8;0;4;m
63;0;12;143;72,2;1;39;0;5;f
30;1;5;50;24,1;4;5;0;5;f
58;1;5;280;68,5;1;37;0;4;f
36;0;11;37;18,7;2;15;0;3;f
53;1;31;393;75;3;32;0;4;f
43;0;3;86;43,2;4;10;0;2;f
33;0;3;24;12;4;3;0;4;f
37;1;2;88;43,3;4;5;0;3;f
43;1;13;66;33,7;3;8;0;3;f
45;0;4;196;96,3;3;21;0;4;f
37;0;5;27;13,8;3;15;0;3;f
19;0;0;15;7,4;2;0;0;1;m
55;0;11;66;33,1;2;15;0;2;m
40;0;12;94;47,8;2;3;0;5;m
